,file_Name,error_data,error_message,run_date,file_name
0,,"Week Ending Date    2/1/2021
Store Number             6.0
Support Center           1.0
Target Headcount           5
Name: 0, dtype: object",rows are duplicate based on all columns,2021-09-09 14:07:07.257690,Target_Headcount_by_Store_by_Wk (1).csv
1,,"Week Ending Date    2/1/2021
Store Number             6.0
Support Center           1.0
Target Headcount           5
Name: 1, dtype: object",rows are duplicate based on all columns,2021-09-09 14:07:07.261693,Target_Headcount_by_Store_by_Wk (1).csv
2,,"Week Ending Date    2/1/2021
Store Number             6.0
Support Center           1.0
Target Headcount           5
Name: 2, dtype: object",rows are duplicate based on all columns,2021-09-09 14:07:07.264692,Target_Headcount_by_Store_by_Wk (1).csv
3,,"Week Ending Date    2/22/2021
Store Number            499.0
Support Center            1.0
Target Headcount           12
Name: 3, dtype: object",rows are duplicate based on all columns,2021-09-09 14:07:07.266694,Target_Headcount_by_Store_by_Wk (1).csv
4,,"Week Ending Date    2/22/2021
Store Number              nan
Support Center            1.0
Target Headcount           12
Name: 4, dtype: object",rows contain null values,2021-09-09 14:07:07.267694,Target_Headcount_by_Store_by_Wk (1).csv
5,,"Week Ending Date    2/22/2021
Store Number            499.0
Support Center            nan
Target Headcount           12
Name: 5, dtype: object",rows contain null values,2021-09-09 14:07:07.270696,Target_Headcount_by_Store_by_Wk (1).csv
6,,"Week Ending Date    nan
Store Number        nan
Support Center      1.0
Target Headcount     11
Name: 6, dtype: object",rows contain null values,2021-09-09 14:07:07.272691,Target_Headcount_by_Store_by_Wk (1).csv
7,,"Week Ending Date    2/22/2021
Store Number            499.0
Support Center            1.0
Target Headcount           11
Name: 0, dtype: object",rows are duplicate based on key fields,2021-09-09 14:07:07.324695,Target_Headcount_by_Store_by_Wk (1).csv
8,,"Week Ending Date    2/22/2021
Store Number            499.0
Support Center            1.0
Target Headcount           12
Name: 1, dtype: object",rows are duplicate based on key fields,2021-09-09 14:07:07.324695,Target_Headcount_by_Store_by_Wk (1).csv
